spl_id;ENV_Site;ENV_Depth;ENV_Latitude;ENV_Longitude;ENV_Management;No-Take;ENV_Coast_type;ENV_Wave_energy;ENV_Terrace_width;ENV_Substratum_hard;ENV_Rugosity;ENV_Height_vertical;ENV_Coral_live;ENV_Coral_reef_building;BIO_Taxo_Ric;BIO_Taxo_Ent;BIO_Func_Ric;BIO_Func_Ent;BIO_Phyl_Ric;BIO_Phyl_Ent;BIO_qual;ES_totbiom;ES_totbiom_fished
site87_5;87;5;12.25197;-68.4195;No diving reserve;0;Cliff;340;109.2;14.495;1.184;9.916667;17.4032;16.16171;20;11.9019;4.8621;2.7616;6.9922;2.7372;0.78701473;8141.421708;4136.725091
site88_5;88;5;12.24817;-68.4162;No diving reserve;0;Low shore;340;100.8;17.64;1.327;52.83333;35.01587;28.069;20;9.5857;4.2668;3.3839;6.3763;2.5308;0.83012737;12591.22083;3811.295134
site89_5;89;5;12.24479;-68.4142;Marine park;0;Low shore;340;117.6;14.325;1.073;5.166667;6.702551;42.34662;15;5.9255;3.8398;2.4182;5.294;2.1018;0.762534409;10275.2523;5427.304575
site90_5;90;5;12.24045;-68.4132;Marine park;0;Cliff;340;121.8;12.13;1.0555;4;5.221661;20.51282;18;10.5076;4.2192;2.7263;6.4407;2.5662;0.854000444;4886.485026;2036.094078
site91_5;91;5;12.23673;-68.4131;Marine park;0;Cliff;340;100.8;12.135;1.2665;6.333333;6.046364;50;17;7.8992;4.9113;2.6498;6.0693;2.4512;0.836589252;6899.691403;3223.862642
site92_5;92;5;12.23206;-68.4131;Marine park;0;Cliff;350;96.6;11.565;1.363;14;10.80483;53.72024;16;9.1093;4.316;2.7565;5.7465;2.6019;0.78278877;5210.68875;2079.132716
site93_5;93;5;12.22753;-68.4119;Marine park;0;Cliff;400;113.4;15.925;1.2575;10.66667;21.20102;24.56533;14;5.351;4.4016;2.3368;5.6194;2.1498;0.853524786;8202.64118;4061.244311
site94_5;94;5;12.22386;-68.4082;Marine park;0;Low shore;480;92.4;17.75;1.847;57.5;34.01146;59.62766;23;6.4159;5.1171;2.307;6.8558;2.1388;0.89210871;25100.46588;4766.825649
site95_5;95;5;12.22197;-68.4041;Marine park;0;Low shore;480;96.6;16.18;1.2555;33.08333;25.07383;32.11578;16;7.4648;4.2504;3.5257;4.806;2.4134;0.855531838;12116.05224;4754.4479
site96_5;96;5;12.22125;-68.4;Marine park;0;Low shore;490;92.4;15.58;1.1425;8.25;8.304075;33.5176;17;7.9392;5.2491;3.7112;6.1724;2.4833;0.815994491;11202.56222;4356.201211
