spl_id,ENV_spl_longitude,ENV_spl_latitude,Depth,SST,Chla,Eup,Sal,NPP,Sub,TaxR,TaxE,FunR,FunE,PhyR,PhyE,BIO_qual,TBiom,FBiom
IR_83,-11.098,51.239,186,12.10999363,0.18705152,58.21673203,35.39000073,230.441803,Seabed,21,4.7764,5.5359,1.9279,8.6162,1.7956,1,312.758,284.596
IR_84,-11.462,51.388,301,12.25999362,0.116466343,61.53147888,35.45400073,215.402771,Sandy_mud,23,2.171,5.6241,1.3804,10.31,1.3859,1,699.702,666.1
IR_85,-10.796,51.458,162,11.60999364,0.474782139,48.58229828,35.16700072,285.6826477,Sand,23,11.3268,5.8011,4.1696,9.2746,3.0243,1,130.444,96.168
IR_86,-10.806,51.632,150,11.55999364,0.423416346,47.04698181,35.20100072,292.3528442,Sand,27,11.4439,5.9507,4.0091,10.447,3.2373,1,128.336,99.494
IR_87,-11.096,51.594,180,11.77999363,0.330930471,52.60607147,35.34300073,246.0817719,Sand,25,8.392,5.6997,3.1963,10.7968,2.864,1,230.298,164.794
IR_88,-10.985,51.802,156,11.60999364,0.53597641,49.18759537,35.26400073,263.9267578,Sand,23,8.2283,5.8212,3.107,9.0377,2.5362,1,169.084,142.264
IR_89,-11.157,52.045,149,11.71999363,0.34918049,50.31930542,35.34800073,249.890625,Sand,26,10.0313,5.1427,3.7079,9.5391,2.9827,1,191.34,122.172
IR_90,-11.529,51.878,248,11.97999363,0.308650792,49.89823151,35.45100073,327.5493164,Sandy_mud,23,5.0712,5.0278,2.2763,8.6351,2.08,1,485.964,459.53
IR_91,-11.602,52.129,262,11.84999363,0.421369225,48.26622772,35.43800073,338.9649048,Sandy_mud,22,3.5625,5.1806,2.0387,8.9334,1.9076,1,706.722,680.002
IR_92,-11.63,52.371,179,11.69999363,0.701824009,47.86250305,35.43000073,338.2821045,Sand,21,6.1351,5.0804,2.989,7.8548,2.5358,1,375.104,319.17
IR_93,-11.954,52.423,288,11.86999363,0.300502956,50.63549042,35.44300073,282.7556152,Sandy_mud,12,5.2198,3.9697,3.1481,5.4368,2.8464,1,52.554,27.192
IR_94,-11.742,52.589,173,11.70999363,0.625242233,47.66826248,35.43400073,327.1816406,Seabed,22,10.4067,5.0847,3.9479,8.1754,3.3738,1,99.824,46.458
IR_95,-12.054,52.701,246,11.85999363,0.362073392,50.94236755,35.44100073,274.0558472,Sandy_mud,19,1.534,5.0683,1.3024,7.1104,1.2733,0.99995766,614.078,605.556
IR_96,-12.08,52.956,247,11.74999363,0.262916028,51.3442955,35.43900073,258.4783936,Sandy_mud,21,3.5979,5.3054,1.7233,8.9217,1.5097,1,641.136,579.172
IR_97,-12.326,53.112,317,11.71999363,0.213177651,53.50179291,35.41600073,226.522583,Sandy_mud,17,1.29,5.0381,1.1331,7.1078,1.1034,1,4838.49,4801.156
IR_98,-12.015,53.257,241,11.59999364,0.172452569,52.83757782,35.46200073,232.0775146,Sandy_mud,20,6.2456,5.0423,2.7137,7.74,2.3678,1,467.288,419.124
IR_99,-11.951,53.11,297,11.64999364,0.169611365,52.01633072,35.44400073,252.7198944,Sandy_mud,23,10.8815,5.1792,3.4741,9.0904,2.7483,1,249.536,181.978
